eventID,occurrenceID,basisOfRecord,eventDate,kingdom,scientificName,taxonRank,vernacularName,decimalLatitude,decimalLongitude,geodeticDatum,countryCode,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,identificationReferences,remarks
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM001,HumanObservation,2016-01/02,Plantae,Sloanea sigun,species,,-6.737286,107.003119,WGS84,ID,8,8,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM002,HumanObservation,2016-01/02,Plantae,Schefflera aromatica,species,,-6.737286,107.003119,WGS84,ID,2,2,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM003,HumanObservation,2016-01/02,Plantae,Elaecocarpus sphaericus,species,,-6.737286,107.003119,WGS84,ID,5,5,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM004,HumanObservation,2016-01/02,Plantae,Symplocos fasciculata,species,,-6.737286,107.003119,WGS84,ID,2,2,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM005,HumanObservation,2016-01/02,Plantae,Actinodaphne procera,species,,-6.737286,107.003119,WGS84,ID,3,3,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM006,HumanObservation,2016-01/02,Plantae,Persea rimosa,species,,-6.737286,107.003119,WGS84,ID,3,3,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM007,HumanObservation,2016-01/02,Plantae,Turpinia sphaerocarpa,species,,-6.737286,107.003119,WGS84,ID,2,2,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM008,HumanObservation,2016-01/02,Plantae,Engelhardia serrata,species,,-6.737286,107.003119,WGS84,ID,4,4,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM009,HumanObservation,2016-01/02,Plantae,Polyosma integrifolia,species,,-6.737286,107.003119,WGS84,ID,4,4,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM010,HumanObservation,2016-01/02,Plantae,Saurauia bracteosa,species,,-6.737286,107.003119,WGS84,ID,3,3,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM011,HumanObservation,2016-01/02,Plantae,Saurauia nudiflora,species,,-6.737286,107.003119,WGS84,ID,2,2,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM012,HumanObservation,2016-01/02,Plantae,Antidesma montanum,species,,-6.737286,107.003119,WGS84,ID,5,5,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM013,HumanObservation,2016-01/02,Plantae,Tetrasigma dichotomum,species,,-6.737286,107.003119,WGS84,ID,3,3,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM014,HumanObservation,2016-01/02,Plantae,Ficus fistulosa,species,,-6.737286,107.003119,WGS84,ID,4,4,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM015,HumanObservation,2016-01/02,Plantae,Ficus variegata,species,,-6.737286,107.003119,WGS84,ID,2,2,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM016,HumanObservation,2016-01/02,Plantae,Syzygium pycnanthum,species,,-6.737286,107.003119,WGS84,ID,5,5,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM017,HumanObservation,2016-01/02,Plantae,Manglietia glauca,species,,-6.737286,107.003119,WGS84,ID,1,1,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM018,HumanObservation,2016-01/02,Plantae,Glochidion borneense,species,,-6.737286,107.003119,WGS84,ID,1,1,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM019,HumanObservation,2016-01/02,Plantae,Glochidion cyrtostylum,species,,-6.737286,107.003119,WGS84,ID,3,3,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM020,HumanObservation,2016-01/02,Plantae,Ostodes paniculata,species,,-6.737286,107.003119,WGS84,ID,8,8,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM021,HumanObservation,2016-01/02,Plantae,Villebrunea rubescens,species,,-6.737286,107.003119,WGS84,ID,12,12,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM022,HumanObservation,2016-01/02,Plantae,Melia azedarach,species,,-6.737286,107.003119,WGS84,ID,1,1,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM023,HumanObservation,2016-01/02,Plantae,Lithocarpus elegans,species,,-6.737286,107.003119,WGS84,ID,4,4,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM024,HumanObservation,2016-01/02,Plantae,Laportea stimulans,species,,-6.737286,107.003119,WGS84,ID,6,6,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM025,HumanObservation,2016-01/02,Plantae,Schima wallichii,species,,-6.737286,107.003119,WGS84,ID,12,12,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM026,HumanObservation,2016-01/02,Plantae,Schefflera polybotyra,species,,-6.737286,107.003119,WGS84,ID,3,3,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM027,HumanObservation,2016-01/02,Plantae,Altingia excelsa,species,,-6.737286,107.003119,WGS84,ID,45,45,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM028,HumanObservation,2016-01/02,Plantae,Castanopsis accuninatussima,species,,-6.737286,107.003119,WGS84,ID,3,3,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
UGM-2016KS-BA021-Po,UGM-2016KS-BA021-Po-EM029,HumanObservation,2016-01/02,Plantae,Castanopsis argentea,species,,-6.737286,107.003119,WGS84,ID,21,21,individuals,present,Foris Indonesia (2015) | Seameo Biotrop (2011),
